,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,1495,1763,3314,610,1393,2065,318,3730,5695,5952,6568,342,5370,3135,2911,6563,101,5194,5014,5862,3035,83,5109,3140,5179,2357,4824,3014,2356,2355,95,96,4447,3034,16,5123,145,4825,63,795,2321,5849,796,2320,5150,5180,1233,5919,1978,3055,2995,5181,3024,143,176,144,2935,842,2267,97,875,1204,4913,5905,1694,2465,5220,15,2447,4823,5890,4733,2411,890,841,5151,715,2284,175,142,2449,1303,1794,177,5779,2446,4912,2448,4422,762,2428,1302,5108,1838,5778,2410,5835,874,5013,1977,159
1,4814,6378,1220,6641,1534,3507,3985,733,5572,219,2737,192,5863,2338,127,5235,5933,1928,1317,1813,191,2876,5123,2285,6166,2910,4309,1286,2375,5793,112,1247,811,5806,47,5876,3074,1922,5165,2381,5028,5904,5247,2302,113,79,5206,111,1893,2915,4931,5089,1260,1248,1852,812,1614,5136,2955,1865,1935,3015,731,4841,5014,813,3054,3055,193,6480,2974,1190,4768,46,1923,6581,5193,1177,159,2376,5000,2973,2392,4913,5095,32,1908,5122,2429,1894,5234,33,5805,3804,80,2428,2465,4858,746,891,5835
2,1503,1656,2197,5395,1023,4064,5106,1915,5022,2404,2447,3035,1614,3135,16,176,6639,4435,2464,1978,6669,4155,5919,3154,177,1303,175,5779,2935,2448,5905,4915,5109,191,2410,890,1838,874,5247,2450,3155,4459,2267,1971,5933,875,1794,1302,2303,4913,1992,5920,2446,2465,2284,5778,715,160,876,2429,192,15,31,144,1163,5876,5918,5932,6660,5013,1317,859,889,5259,2268,2411,1374,4931,3890,1977,2776,2449,2393,1991,32,2212,1964,2463,2445,1316,1289,4929,4912,4932,891,3115,1949,0,873,5108,127
3,6503,2555,5430,2993,3890,6653,3121,1531,5938,4387,5014,588,4044,5028,4594,661,5191,5220,3155,3154,5220,4399,5234,127,2285,3056,5095,1247,1935,3115,160,5657,5123,0,1908,32,746,3034,192,1907,96,3705,2465,1774,2249,2375,5863,112,5793,5904,4931,2974,1922,5835,159,2302,2447,47,1865,2393,33,1302,2934,5150,2339,2392,80,111,5806,4350,2428,3055,5221,5876,1936,5108,5178,1852,1978,2429,1894,794,79,1317,3014,5206,859,2338,2915,5193,3815,1260,1753,113,5765,3114,1851,4924,1190,110,5165
4,2235,6175,411,4543,3429,1091,1351,5067,3427,419,2626,420,379,2813,2220,2843,677,5674,16,175,881,3740,2598,1164,1303,4422,1980,1979,2450,176,4339,1949,4952,875,798,2447,5594,4297,3135,17,5848,4823,2480,2081,715,1262,3035,5849,15,63,143,5109,2448,2446,4398,79,2267,3054,96,127,3134,5220,2320,1908,2429,1838,2410,1274,3094,4913,4733,5820,2445,192,874,6508,2464,144,32,5735,842,1317,160,5890,3113,5179,191,5014,2935,2409,5150,2994,2321,2411,5933,1977,31,112,113,2357,177
5,470,1611,3264,2417,679,732,4324,213,2529,1203,5014,4362,4638,176,2228,5933,4375,3135,762,5919,127,5863,2357,112,3055,2374,96,2955,2375,5806,5179,5000,1795,48,3155,80,4399,811,1713,5206,113,795,2833,5835,2995,5849,5876,2302,5793,552,5089,5027,1908,47,746,111,1863,5123,79,5136,359,810,2339,192,1317,5028,1247,5234,1232,1922,95,5165,2338,4931,32,2465,3855,3015,128,5193,3810,159,1992,2356,2376,5778,126,2392,5820,2411,2428,5164,3154,2303,5779,3156,4275,858,2974,0,3095
6,1595,769,2643,2494,6460,1269,3171,3056,6435,1154,3055,2722,2783,4351,5865,5864,2960,5027,4249,5165,1923,82,4352,4332,4829,811,63,3015,112,5028,4841,812,5178,2339,5193,1246,3285,109,2375,1907,111,5000,1866,1644,1922,5234,5863,80,779,2378,2374,1247,2376,1233,47,113,4842,2109,95,2302,5108,814,1894,81,1714,4805,79,2377,114,4840,3035,5194,813,5835,746,1261,2428,96,809,5179,5123,5849,810,1190,1674,5806,780,48,2357,1921,5136,2974,1908,127,16,1865,4806,1935,3115,5891,5876
7,5096,4321,733,6205,3528,954,1773,1384,6596,6257,2767,2170,5735,4814,4931,5765,2493,192,2465,1317,1992,3905,6499,3156,160,198,2435,891,2447,3155,2955,164,5933,553,1964,1991,4936,174,3162,3287,191,5109,32,4309,5123,5932,1289,731,2429,2466,420,859,5095,5905,16,3134,3135,190,2446,2430,193,4911,890,3121,5919,2468,4693,2267,5259,176,4932,1814,5934,4913,892,0,2464,5793,3138,1316,1977,3154,5744,161,1290,2302,33,874,5002,5235,5089,861,4895,2428,2339,5014,194,3136,5918,31,112
8,665,3931,655,4131,2120,6564,5503,2696,2,1818,6388,6589,3774,198,4459,6663,4339,1992,5085,1993,5932,4447,5486,2285,2465,159,192,731,826,1317,1852,32,733,1717,2468,3134,127,5806,1177,4458,1893,47,2514,891,1935,1318,5206,112,746,1190,1865,2392,46,2303,2975,4931,1260,2467,5109,3074,2302,1247,1922,812,3410,2428,5954,1703,2375,80,5221,2466,5933,3155,126,1984,193,5849,811,2249,2391,3055,4932,2301,5876,5863,1894,1964,2376,45,1921,6499,825,5193,4841,778,5028,5095,4767,113,5793
9,501,4393,2265,801,183,959,3523,2267,2256,6083,3375,400,176,3955,859,2447,5890,3801,875,420,6372,1794,5740,2339,528,1978,1791,3701,5932,16,5779,4447,649,5933,1302,1303,3035,2448,175,191,5919,177,1964,4458,190,1977,15,876,2446,3134,174,2429,2449,5918,1979,5014,2464,192,4237,1304,6660,1991,1163,715,2935,2266,2465,5920,31,873,4297,1594,714,3135,5247,5123,4695,889,2410,4913,874,2358,1838,1305,4875,1693,1162,891,5863,1315,5178,2009,2268,2445,4930,4733,5905,160,178,5077,5150
10,4689,2618,6470,3777,5927,2345,6212,4829,926,4620,5339,3055,2838,5016,4823,2356,5027,3075,2994,95,4447,3035,5848,4805,96,2320,2358,5000,111,2777,3135,94,1713,2336,2447,5192,80,1908,1879,5862,174,112,4786,1233,2357,143,2376,4733,3038,810,5863,5013,192,2339,48,32,5847,1880,5178,2428,5179,5165,5876,2373,794,5849,15,2338,5820,715,3036,3124,64,795,47,5918,2932,4824,63,779,2284,5221,5014,1907,2321,5933,3115,1653,2410,3911,2429,128,2374,2393,3134,79,5109,3155,5821,875,448
11,5989,910,4007,2670,797,4137,341,3194,1954,1161,5027,4316,5821,795,2974,5712,4399,5192,2361,5179,3135,4386,2353,2375,4435,3034,111,1921,3134,1228,2374,1220,4733,2376,128,5150,1907,3057,1247,3035,5076,5013,3036,5177,3094,743,811,47,4115,5207,2320,1246,5028,5848,5014,96,63,95,1233,1977,2357,2356,5015,5933,2636,796,80,794,177,94,112,5862,2302,5834,5000,5178,1204,810,5849,113,2322,5919,2266,1908,5807,2373,1880,5904,4823,110,159,64,779,1922,1866,5137,1274,3794,778,2410,4786
12,444,5082,1634,6175,328,435,2353,1401,6122,5587,5028,2524,5193,6550,1248,1935,2392,2249,5863,1922,112,2375,127,3055,2955,5862,2339,812,4841,5876,5806,5474,47,1865,811,1714,2302,5165,5109,2303,80,1247,2285,746,4846,4410,32,6580,1260,2356,745,1893,3035,1923,4858,2376,3056,3135,826,5194,1190,731,2301,5933,5793,5234,6411,3074,79,192,4931,4768,160,1963,2465,1934,1027,699,1992,2342,3075,111,5192,3114,5013,159,5123,113,2393,5575,48,1993,5095,3115,891,1864,0,114,2429,5136,96
13,50,2621,6071,5392,4879,6084,2030,5939,1656,2699,4155,1261,3135,664,4422,4823,4327,2357,5877,1978,3586,589,3094,2267,5754,96,1163,5635,6669,1233,2320,5123,15,5150,4374,3014,64,762,5220,143,5109,4387,1922,5095,5122,191,1274,16,160,2321,1838,2266,2339,5014,176,4739,5890,3036,1908,63,5207,1247,4824,95,31,3074,3170,3035,144,48,794,1794,875,3114,5179,111,5779,128,2429,1275,2447,5932,1963,5793,1246,5849,1907,0,2303,778,2446,1879,94,1894,2935,175,1303,843,795,730,2374
14,4248,6288,1265,5092,2452,5073,2283,5263,6040,823,6560,2935,1694,5593,4895,2711,1721,1991,177,5919,5013,5849,3075,1560,1163,2284,3135,2393,1823,16,2357,5220,5150,5179,2320,96,2267,1697,2339,5779,2319,2447,1634,2739,1948,2899,6569,5151,5109,1908,97,176,1978,128,6499,5890,1907,5932,143,4085,5862,2392,1838,2410,1245,1274,229,1879,5095,5108,1909,4786,4733,155,63,5792,3054,1875,2356,1977,2249,5193,175,1949,715,842,795,5850,5918,6616,2994,4309,2321,5820,762,1950,144,112,1204,142,841
15,6650,1271,3740,5004,3996,4168,2087,5221,4174,6526,4153,4331,6588,2222,2447,875,1784,174,715,1317,191,569,192,4446,31,5795,1289,890,32,3155,4931,4399,1814,891,5220,175,1794,1992,2463,193,4236,5089,1318,176,0,2430,2915,732,1316,160,2465,3095,2429,5933,1852,2466,1978,112,892,3418,3135,5932,1991,4932,5919,5920,1084,2285,4327,3154,278,127,5095,1964,859,2284,4459,2955,4895,860,190,2464,194,5793,195,3015,874,5123,3115,2446,3156,5905,3157,5779,1894,731,4911,4930,4933,2468,5918
