,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,188,4708,3035,2805,1683,3849,5652,5789,307,5224,4458,1908,191,4422,1594,2429,5151,2320,2446,3135,176,4327,875,2813,1978,4952,1979,2447,4913,1303,1274,1794,16,874,715,2454,177,5919,5181,1838,2357,2935,1304,3737,2267,1163,1977,2268,143,1879,2448,5921,2410,192,141,5920,175,5918,5108,1803,427,1302,3094,5849,2994,96,3137,876,174,4733,63,5890,4914,1837,5109,1204,1949,1880,128,1950,5820,1694,3385,762,4823,2464,1305,5793,4912,2411,1907,3155,1878,5220,95,2266,4876,15,1921,144,5891
1,2827,3624,6384,803,2165,1375,4118,6123,3949,2350,94,96,2813,2601,4389,5015,800,1909,5852,1921,3037,1694,1908,2935,5779,63,1233,97,98,795,1949,5014,4781,2320,1204,5849,3035,1893,796,2267,2814,4423,2359,4237,5853,5150,143,4297,5820,2357,2358,1907,95,64,1232,6460,1274,842,4786,16,5109,762,3889,1234,144,1303,5179,176,761,5220,4823,3095,5933,48,1879,175,3094,2410,1978,5890,715,1838,5919,5193,191,5932,2447,3135,5891,1948,841,2994,128,2411,4916,875,440,5164,2445,2409,1302
2,4853,1572,140,3809,5377,2871,1817,709,4473,1325,4459,95,97,2357,6660,5745,2358,1949,2356,4805,96,3787,5028,5179,811,3035,795,6619,4823,1204,2975,63,1232,80,5848,1879,762,2994,4374,111,2374,3034,3791,794,1692,64,796,5862,2375,48,798,144,5849,4822,112,1921,4821,1908,1233,4824,2411,4390,1907,2321,3015,143,192,2355,1978,2410,5014,2359,1693,2974,5193,3014,5904,1922,779,2302,5850,810,5013,2392,1246,128,793,3055,5178,4931,4309,2993,5891,731,3054,2465,2376,2464,763,5806,5109
3,4862,6170,5533,1632,1457,4564,4973,5509,3691,2454,6599,1633,4841,4063,4914,47,2845,5027,891,143,3715,1921,2955,2446,48,5000,5095,874,2447,5028,1695,5862,2974,192,98,746,127,4339,5848,3155,2915,3074,81,2320,811,5109,5137,2357,5806,2267,1303,5234,2374,3054,64,5835,3015,1907,423,5207,5123,5178,2410,5807,5013,96,2392,2934,3014,814,1219,5193,5192,5179,2356,1908,2358,111,5076,2339,4823,63,95,1879,1246,5849,794,5014,5077,3035,3114,4236,175,1992,80,795,1880,2411,1922,79,144
4,4245,5673,2614,2961,1211,143,5146,2171,2538,3303,192,4459,4350,1247,1714,699,4805,5164,2706,5123,32,2935,5905,47,2955,5136,5919,2465,5793,1318,5933,1992,4931,1317,3155,31,3409,2285,732,160,2429,2464,1964,3905,1260,859,2446,2284,0,3115,1993,161,3074,1820,891,5806,193,191,1814,811,5849,5000,3135,1177,175,1977,2249,4733,5918,5932,127,176,1978,892,2447,2811,194,3136,5247,890,1316,5221,1774,5234,96,159,2410,5109,5207,2392,4913,5834,5108,2266,5122,5137,144,2321,33,1289,4189
5,2274,4674,5558,1848,80,4271,1587,4939,5388,5027,5465,3055,1714,809,1247,5000,2586,5193,779,112,2356,5867,2359,3056,2799,4387,4399,1907,2392,810,5012,1223,46,3051,111,5028,2374,4024,811,1923,63,95,2375,1921,32,5863,2303,4733,2410,96,1908,2302,5821,2592,5918,1233,3834,3075,1246,128,1894,1879,1922,6689,113,5932,47,3054,2357,5136,64,4876,5014,1909,1219,3035,1935,812,2339,3015,5013,4823,81,1865,79,1205,5165,48,3074,1232,3695,1734,3135,5835,2393,325,5849,5864,5220,5793,0
6,865,5931,1859,5917,1647,3551,4554,3175,3626,3592,2932,2906,399,5574,890,2890,5264,1180,127,1865,4189,2870,5000,2767,5109,1935,5123,1317,3115,820,1177,3074,160,1925,4249,32,192,826,731,191,732,5848,2465,33,175,5849,2392,144,1247,0,5919,194,2429,3155,3154,859,3135,2339,2285,1992,5876,814,891,1894,31,1852,1302,5933,2284,2757,2995,1,2955,2468,892,1319,5918,1794,159,2915,1824,2446,714,1964,4386,176,143,2431,5934,193,1991,5820,3134,16,5905,2374,177,2891,174,1289,795
7,3352,2132,5998,3051,5217,5898,6515,1295,3922,2441,4362,3136,3035,5820,3054,2701,2813,5014,4044,5207,4387,12,3135,5779,1908,730,3093,5109,5919,2410,4237,2339,5220,143,842,5920,5000,2411,96,2267,2357,2974,5863,5849,144,1838,2464,48,795,5877,146,6480,1949,2320,3115,810,3994,2428,2447,1866,5221,5778,1204,2994,5890,5137,4422,5164,128,806,95,63,159,1978,2374,3015,5918,2249,1879,5027,5108,160,15,16,192,2266,2393,4841,2448,175,2356,762,31,176,3890,5136,1907,2321,875,1176,1991
8,34,2805,77,3559,858,1264,5688,1937,1942,533,5778,5919,1794,5890,127,2429,3135,5122,191,3134,5765,2428,160,2285,3154,0,4447,2941,4706,2446,2767,3894,5014,4459,3114,4912,15,2465,6685,1163,1992,2266,3155,176,5933,16,175,3115,874,890,422,1979,2448,1837,1977,5089,1978,410,4189,5918,4446,2464,5905,5793,1303,5932,190,3055,5027,192,4156,846,1824,1964,889,2447,4931,4930,4895,112,4309,4297,891,1991,1316,1936,1852,5220,2249,791,1317,32,1289,161,2267,5095,1302,859,1851,5108,31
9,6029,5797,4006,2210,6190,2881,96,4694,5152,2076,4064,4023,2379,320,2319,32,5234,4375,1653,4398,5028,143,3074,4387,63,2356,2339,2446,5193,5014,4374,2935,112,715,1908,144,64,878,3035,2374,95,15,2284,161,1594,5013,5820,1694,746,3136,2410,177,1879,811,2338,6310,111,2465,1838,5108,3054,3134,1950,97,2320,16,2375,842,1837,1733,191,1949,762,127,5918,176,5932,128,2302,2285,4446,192,1163,5890,2321,80,159,2428,5136,826,48,4411,5220,5165,2464,2447,875,2393,5778,5793,891
