,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,1959,2677,3377,421,3158,2436,2708,4079,4082,1014,4439,5715,5692,2771,1871,5015,1317,3774,3653,5849,869,2974,575,2324,5127,3320,1713,874,4445,2619,3248,3154,430,1589,715,6197,2787,347,4523,3651,192,4227,2673,2386,858,3085,3432,2458,4802,5623,818,4100,2359,3979,1659,4945,4041,6593,1191,3910,2133,6315,32,143,1624,2306,6234,3474,5544,4827,5436,62,2955,591,906,3619,6383,4636,2784,1629,5566,6522,2764,298,1901,5253,609,6677,5860,3549,4129,1100,31,4092,575,1568,2874,1251,2652,1670,5951
1,3397,228,3816,5813,3888,942,6507,5980,4032,4472,5555,2518,6577,3419,4290,3034,4912,5178,4913,111,3688,3035,2034,2672,1813,3786,2918,989,2261,96,6589,4045,6568,5978,414,282,1807,2845,176,2761,2439,143,6521,6110,715,1831,4981,6339,3088,1310,2935,875,5886,2376,2232,110,219,2447,428,4599,5428,5408,4021,1456,6562,63,3089,6139,4617,4989,4406,1609,3134,2852,2373,723,4507,4737,4918,1156,2358,2448,2726,379,5855,5763,3087,2302,1817,1310,3477,1774,3005,3091,4603,4183,1611,5919,6667,1623,2407
2,643,1681,5920,2491,5980,21,6087,2277,1123,5939,112,572,3155,3965,5974,2503,6360,6128,4889,231,4807,2915,3974,5169,3094,2105,2447,2960,2446,1987,3135,3072,2755,4388,4912,682,192,5353,2927,895,1298,890,3673,5324,2283,3306,819,6104,2062,3731,5631,1289,5607,2338,1869,4537,1729,2994,185,6013,2051,4011,1765,2304,5748,371,6680,161,5233,2719,4457,6216,1694,405,127,330,4117,6276,5413,1578,4035,3553,434,1551,5818,2529,3154,3815,6623,2175,4367,6444,1286,6660,6016,4497,1654,2507,1900,6650,1755
3,4393,6301,5295,2374,2978,2375,5137,1406,609,3737,2752,6134,3929,731,6009,142,4836,2077,300,1653,32,4645,5123,3032,340,4483,663,530,6067,805,503,6514,271,6646,2304,4833,5655,1164,2464,811,5193,379,4645,701,112,3070,448,3462,4325,1440,3904,2109,2447,2465,3349,1714,1794,1963,5346,3513,6137,349,5764,573,2321,4805,5977,3603,5638,1804,6569,2974,1443,6305,5346,6230,336,745,4823,3829,6366,1282,6686,5640,1723,5121,6217,445,528,3058,1581,1696,3395,535,2086,4668,4785,5430,975,2384,3741
4,4780,255,5161,5120,2856,5327,6297,3825,3684,6083,2870,2992,3894,5712,2761,6563,6493,5919,962,2935,5226,6519,3896,2447,3035,80,5622,3824,3653,2358,3053,4726,2338,2072,535,6571,2429,3817,1908,832,370,1234,3815,3718,1774,2285,2320,4050,6076,234,2430,793,4441,4828,700,5374,979,4055,1766,434,2164,2651,4896,6418,2384,4914,4649,229,447,1797,1829,6433,794,2465,4095,2746,3024,3528,46,1689,4183,5721,5043,698,808,2482,3369,358,892,20,1380,4537,1101,3469,6141,1046,636,6585,5753,3117,2166
5,5824,249,1168,3166,5230,1233,6240,2627,5080,4581,6204,3969,5346,5614,6044,6580,668,4801,6131,3054,5676,1694,1649,2267,6615,2752,3515,3806,3481,4146,2428,4660,1992,1633,2729,3761,6177,5789,3000,576,1921,5206,4586,2340,4363,3799,724,294,4596,1479,127,5687,1971,4095,6560,2645,2356,4569,6200,5487,4856,746,1911,2473,4113,4750,5413,5840,2088,3220,2164,2357,3135,671,107,2910,3237,586,6472,1104,3035,1695,5055,722,4662,4644,3762,223,3055,3036,4823,3151,3919,5770,3063,1002,1714,3865,6126,4912,1878
6,5011,2482,4784,2853,6171,6058,4901,5772,4757,4048,3870,2375,2994,811,4121,1594,3830,3093,5918,6588,2429,1116,175,568,2361,1866,569,2362,2389,3669,2693,1894,975,5179,5169,2426,1555,2935,3139,963,3376,2339,2248,6643,4279,1797,5515,2410,5925,1749,1603,308,2278,1164,440,6039,1675,2262,6402,6651,1893,4786,5563,2557,4916,210,954,6371,5306,1723,2046,6085,981,1614,1390,1693,1677,2956,2304,177,1249,1681,2358,4116,4471,698,4826,2155,5387,2748,6014,144,1720,4887,2995,640,2975,2357,2449,5642,2817
7,1294,6294,3531,5674,6324,5113,4658,6062,6044,4487,5737,5533,5942,3174,588,653,4931,4441,4588,3135,2901,443,6580,4359,26,4819,1650,3035,4495,3251,2874,1303,4688,4160,209,173,4396,325,1726,6571,2994,2375,3075,2367,3201,6292,617,4072,4345,4193,6154,2357,894,2446,4287,2462,4336,6092,6684,2333,371,3928,2475,5061,2738,5731,1274,567,3960,1717,1925,1610,159,0,2320,5350,2871,4377,2552,2854,20,4647,1935,558,48,4073,1157,3221,2019,5358,2383,3071,2711,3436,5691,5850,3738,6425,1134,3385,5637
8,603,3139,5509,2230,4701,2744,809,2702,640,394,6200,2307,4065,1617,2513,2878,4964,5028,2721,4267,5707,4423,1900,4018,4399,2570,3786,125,1035,3775,1903,1987,594,213,458,1261,840,501,4706,1738,1991,3774,4013,708,1709,5727,5193,3936,929,3394,587,3712,4823,4688,5197,4646,1161,926,1324,4931,6188,241,3221,6350,2624,3836,2431,4914,5865,5705,6559,1488,564,534,2338,496,5159,3241,4114,520,3050,490,1921,3925,3336,3663,899,3327,6061,6596,2602,1668,6687,4513,3848,1808,826,3839,5752,4145,5618
9,456,5060,1410,5052,1616,5985,6130,3639,778,6000,3904,6480,6660,2429,4847,4931,639,1793,5430,394,1693,1991,2617,31,193,672,2923,3200,2447,5823,320,2393,1694,6460,4845,2686,3196,2910,234,191,4394,1751,2684,779,192,1401,4823,2980,5650,6627,6399,112,21,2439,3025,6152,2820,6501,93,991,2356,1440,4712,1813,2355,1742,1017,4350,2359,3579,339,4316,3836,4233,746,2407,4786,3236,5479,2986,2621,1801,4158,34,4653,6473,4394,6006,1608,475,5544,5664,2585,79,4865,5945,3551,2027,875,4038,762
10,3922,3071,2722,4065,3960,3252,2859,4592,4840,4732,4461,6586,6621,4422,4435,3155,681,5103,63,1893,3260,3581,2622,891,1409,6065,6661,1524,692,5376,1697,295,5275,916,6090,954,1512,3368,721,1826,6670,2565,1814,3044,5630,611,2633,5918,5594,4935,111,4702,1740,4017,5042,565,1780,4634,345,2268,142,4154,13,3839,799,2374,2556,3840,2050,2956,4350,3116,6053,775,5545,2493,2392,4542,5480,4983,529,4355,283,3030,986,267,4057,5676,1050,643,2670,5732,3587,1694,5163,5281,4876,2189,529,3700,2896
11,3363,3778,4712,321,5000,4749,3608,1464,2182,6193,3610,5650,2737,6372,2996,510,4324,3439,6500,808,96,4822,4883,5583,795,6442,3041,6492,990,2907,1849,3393,4843,440,6309,2837,47,5993,6022,4841,6244,555,5846,3496,3053,4845,4110,882,2356,1794,4613,2877,2320,1501,715,4103,5378,5739,2792,1325,4453,2665,3442,4848,2780,5955,6470,6327,6000,5997,3035,1604,6550,3294,599,1719,5246,3269,3657,2868,6519,2601,6009,6617,2646,733,3919,5812,3524,4235,6654,4169,940,3886,5817,3718,6118,5769,3937,1979,1948
12,1980,2072,2005,657,5802,2452,4116,2057,670,3340,2814,4931,2100,888,169,5127,2999,4522,5353,6240,3574,3136,6552,262,5849,1694,2285,1936,3186,4647,2769,2010,1196,5615,5622,3200,4610,1186,2459,2375,4143,1753,3564,4151,2955,5883,3142,3161,3640,1887,2451,6270,3154,1310,2913,5635,3946,403,348,1384,2190,3035,2507,671,3823,2446,6589,1863,3341,3812,50,813,4572,945,6602,2410,1291,1140,5693,2424,1510,2455,3974,3043,2429,2303,6329,3962,398,2271,1525,4876,4755,5068,6414,5478,6399,2853,2524,795,466
13,1730,2162,3562,1596,1808,249,1460,4014,748,1470,4212,6146,4075,6681,5258,112,1317,4894,6405,2972,3985,2601,1714,5845,1737,2451,3054,48,5236,2466,1260,3053,2467,2612,4816,5806,1813,5641,472,160,192,2465,124,6015,3853,6565,5679,2269,2380,1683,2340,1079,4938,3038,4054,587,5824,1897,916,3923,5136,3848,2513,123,3145,1375,478,884,958,5983,5410,2414,5723,6628,4728,1531,1191,2464,2561,4226,2070,2832,2961,3781,2685,5781,4995,1799,3274,1955,2590,4640,3383,6130,3043,939,3242,2375,3108,3158,480
14,6043,1987,37,1980,700,2201,2545,1709,3940,5672,5336,5077,5627,3154,5755,3736,47,4125,4636,5342,2955,4894,1031,1633,3134,5736,740,64,859,5165,2374,3015,5970,966,3679,3155,5574,1124,689,4832,5745,1403,3858,4917,2768,4913,1969,1257,636,2681,2359,3995,96,4984,3735,2868,3774,1296,2961,4858,2251,3439,5311,399,3033,3470,1372,3696,1453,2311,2063,1346,1095,2248,2524,1292,5220,3096,6505,3223,5808,4859,6449,591,655,5534,1879,6556,746,6290,1430,5459,2375,3630,3228,976,4291,5725,3401,3317,3268
15,4716,4385,3896,4080,500,5735,1648,5972,4070,2702,5474,2447,176,5527,5206,136,5178,4335,59,1387,677,3590,6539,2915,419,2994,4995,2285,2639,2410,807,340,4761,98,160,3435,5300,6496,2745,6144,2964,4613,2560,1694,1517,5577,1705,5380,492,1534,327,2822,2470,4994,1529,810,3929,3313,5121,4026,2897,4863,757,4751,5198,1541,3989,5527,1128,1688,2779,4009,3990,488,1715,96,576,5284,3717,1017,4595,6495,1772,575,3451,4171,2301,3734,2497,2167,1504,5336,5163,5986,1021,2375,1270,4398,1470,4323,1049
16,6135,2529,3741,3419,203,5527,4071,4838,2291,2352,5322,4126,4673,1695,1803,2357,5011,96,128,1837,2284,2039,6629,4822,874,408,3040,4828,795,4800,2320,4804,1800,4830,1874,143,2460,4034,2935,798,3015,4917,5141,3025,3021,3283,4569,4347,6560,1304,5821,3866,3135,2285,4362,3113,5875,2315,4813,6531,3138,3029,3117,3034,4840,5554,5870,5813,4738,3060,5209,2339,4716,2436,1788,910,270,870,715,5566,3155,4126,1750,3705,3843,5582,130,4793,4829,622,6487,160,5576,876,4153,4919,2381,984,6610,5174,3055
17,313,2682,3707,766,3411,4273,5386,6588,182,316,746,1703,4237,1674,3053,3035,6370,5844,1613,4035,2045,937,4036,159,1287,2103,304,643,3177,5039,2954,2150,2465,2759,1604,1713,458,4486,112,96,993,2724,4747,4783,6597,3034,3664,564,813,3166,1647,6516,2375,4714,3075,1835,4605,2451,3185,4209,3788,4376,2894,4097,6083,4044,321,2844,5792,1948,3875,2920,4673,1796,1227,5758,2990,5881,3482,2954,1525,143,3453,4447,6132,3477,144,3985,5631,4474,4024,6494,2955,257,1927,795,6455,4424,3377,4705,5018
18,4087,1122,550,5252,6032,4335,3269,6647,1855,6546,3665,6682,4084,6590,746,2940,3115,1576,4784,3134,3904,3741,656,3871,6095,300,2392,109,2249,6486,176,947,4786,4630,689,1628,2868,2673,872,3906,890,5640,3034,6394,3475,1269,3138,1447,5252,1822,731,2779,103,1292,3536,2371,4007,3502,2411,6662,5207,4951,1705,5898,745,3453,4313,2356,6239,4349,6665,4495,1187,3156,671,5209,573,2320,5441,2430,1614,1481,3505,10,4009,3155,1580,831,6298,2180,4429,4096,2882,2612,4875,2497,1708,3845,2510,972,1596
