,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,5451,4002,1447,4440,6663,4724,591,3125,5374,5852,2749,805,1356,717,5997,5023,5016,5554,6442,5766,1033,396,2171,2544,4105,2766,3458,6136,1016,5127,1064,1934,3192,3092,252,263,6104,486,6302,430,2053,5599,3137,2653,1452,2293,2626,3428,2432,5644,6178,1876,3475,3275,4069,6509,5317,2742,3977,2933,2413,4586,507,2256,3670,2629,5198,3064,2185,1846,4267,2174,5728,3431,4645,3887,6080,6557,2334,4347,356,5525,6465,2837,2889,1448,2527,1380,1664,1196,6404,6168,3633,4333,505,2082,3463,748,6319,4775,3428
1,333,5905,1779,6013,5849,4863,2334,5368,3838,5551,5339,1465,4058,5713,51,1891,6341,4386,5054,3761,616,4273,3559,3265,1376,6301,3419,3895,5066,348,3591,4798,954,4878,1885,1319,4598,5867,2458,6263,1186,5467,6573,5441,5949,4749,6327,4693,1290,3915,4577,2988,2870,1238,5245,4414,3476,1245,3262,766,2016,6173,6060,4543,1827,4840,3291,131,306,1682,6652,2622,1859,936,952,685,5784,5011,1568,4624,4123,5968,5647,6254,5756,4484,925,4243,3544,5440,1659,878,2919,1930,3777,333,2586,2840,4729,4893,5712
2,1156,6330,1589,6387,1578,1650,5591,4639,5708,6004,1445,5947,1744,195,608,4811,3179,5335,104,936,1525,860,5424,2286,6460,5514,5586,488,971,3475,1622,1248,2923,2042,2404,6317,2875,1615,1911,2618,2812,1267,5218,1931,1684,5272,5712,4903,6509,2926,17,5923,2718,2055,3983,4570,4054,4854,1970,1976,2713,2330,6595,856,3103,981,917,2895,1759,6666,938,90,6310,657,5745,3481,1601,2733,3100,6,3300,6002,1735,408,5498,1309,3661,4971,5152,1132,5625,2542,1677,5989,5077,1612,6109,4861,1245,3649,834
3,1334,4331,2205,6619,4685,4283,3548,665,4612,2561,2196,702,5508,1078,5878,4894,3485,6202,6572,4757,5051,388,5039,3421,705,3503,1280,347,4277,1218,540,936,1150,6440,5406,399,6446,4228,2768,4817,2237,3620,4679,5574,339,4725,6162,606,13,3396,6088,1665,751,5454,4490,6183,3499,5039,3201,6173,2500,2767,56,952,2031,3069,6368,2492,458,126,1049,3821,3217,6125,811,995,906,1167,4137,1210,2376,645,3283,5939,5330,3415,6665,1458,3886,5726,2298,5399,6025,288,954,4419,3288,321,5465,4448,4735
4,4181,4189,3032,2535,431,2663,880,1795,5008,2128,561,590,3256,2288,430,1552,1456,4555,1623,1987,4888,2199,3980,3259,1190,320,5600,3448,2086,4182,1713,639,4572,4564,65,351,2717,4117,3857,956,2719,2144,4880,2974,2576,6561,3218,4110,4590,5724,4421,3206,3149,5036,5451,363,5734,3044,932,6,5001,91,1868,794,1899,2077,3539,2421,4058,3331,6170,5423,4971,4692,5015,3134,5567,6383,2659,585,2181,4481,2811,941,6544,2876,733,2128,641,3774,5231,5837,5700,1809,3369,5677,6622,1794,5587,6345,2067
5,4752,255,418,238,6128,1864,1685,2868,1500,441,1489,826,2843,5093,2910,1127,5635,640,1989,962,1621,1246,499,2868,4831,2106,2555,3854,1439,802,4017,3783,6460,221,3329,3054,97,5276,3599,368,1649,2380,3097,2323,4520,6284,2450,5046,3598,1017,3292,3617,1868,6300,6678,2992,4776,3097,5099,4724,176,1048,2212,3408,2775,4235,2068,3799,2309,5345,1008,329,4164,1209,1656,6432,5447,3084,3799,261,4610,3504,6559,6326,6530,2133,6601,2602,4581,2741,5321,6387,1118,4059,512,1156,869,1047,2793,6294,6184
6,6055,1503,2610,254,2054,2935,3081,6269,4830,980,926,6431,438,5114,6412,5576,4103,6360,2216,6129,5133,2721,4414,5292,3061,6580,1906,3425,3409,1232,4685,3789,4329,5608,4547,5978,2545,3903,3710,4409,2981,4601,6137,5861,1177,380,3702,639,5484,381,5995,3691,3866,565,1487,4550,5273,4707,2635,4917,6681,3523,3462,664,1834,2959,6179,6337,5296,936,743,699,5016,559,2230,6126,3265,1849,5629,1494,4829,1244,1824,1442,3022,4684,176,1475,4935,2963,349,643,5794,12,1775,3671,5706,1861,2927,538,293
7,5259,3161,5324,1905,3321,4294,1881,169,5982,1683,1158,5949,1957,2207,1172,1846,1614,3238,1643,4239,430,4231,4279,4983,6313,6457,2064,2136,5908,3411,6368,4812,2696,4742,4801,4828,5452,1844,2820,2337,2969,5969,2136,2288,2002,6129,3365,6646,1640,3656,39,6558,1795,846,3698,2368,5588,4313,5025,5981,6428,6360,4563,5410,2757,6461,2605,10,6094,1509,3599,4696,1318,6237,5734,5968,1938,2967,2921,5222,6208,4794,6606,3964,5115,5795,6495,6140,138,1896,6068,6461,717,1373,5473,3982,2320,782,5223,4585,3676
8,4539,2955,865,4573,2422,2763,14,5865,3102,6586,1168,4272,4681,4927,1231,6014,3472,5449,3164,6542,2488,5698,2004,3376,1140,6043,396,2846,5927,5969,1892,371,3448,757,6420,1220,2682,1528,6043,2995,5336,6659,68,2505,4922,6039,4675,3203,1652,1091,2660,2520,3588,5090,5120,4670,389,2329,1525,3756,3739,663,287,2455,6053,3412,763,6463,3841,2740,3681,4824,1445,6405,2887,4837,2362,5929,1254,5852,4296,5258,4726,3811,5036,180,975,4224,4563,2345,637,2778,1917,4916,4930,3165,2129,569,3270,3494,2754
9,628,1788,1161,1174,1485,1499,6449,1577,1230,3633,3986,3907,1113,2366,4778,1871,5843,5103,3303,6486,2601,1501,4168,2175,6327,842,6004,3193,900,4503,6170,992,176,2194,3227,5352,3349,966,2664,919,1892,6039,4837,2477,1599,4095,6170,6032,3791,258,2616,2380,3905,1415,5600,1436,969,1602,2275,5005,2121,2412,2498,2147,5942,6303,3135,4320,597,2709,1321,5597,39,4565,5206,5745,4941,3795,4483,2171,3535,5030,1881,2002,2235,6180,3220,301,3065,2406,5406,5129,444,379,2848,1546,1438,3290,5507,3607,6199
